時間,設備,值
2024-10-26 09:47:24,SA-37/LED_LEVEL,1
2024-10-26 09:47:25,SA-37/LED_LEVEL,3
2024-10-26 09:47:25,SA-37/LED_LEVEL,4
2024-10-26 09:47:26,SA-37/LED_LEVEL,5
2024-10-26 09:47:26,SA-37/LED_LEVEL,6
2024-10-26 09:47:27,SA-37/LED_LEVEL,7
2024-10-26 09:48:04,SA-37/LED_LEVEL,7
2024-10-26 09:48:07,SA-37/LED_LEVEL,9
2024-10-26 09:48:08,SA-37/LED_LEVEL,10
2024-10-26 09:48:09,SA-37/LED_LEVEL,8
2024-10-26 09:48:10,SA-37/LED_LEVEL,7
2024-10-26 09:48:11,SA-37/LED_LEVEL,6
2024-10-26 09:48:25,SA-37/LED_LEVEL,7
2024-10-26 09:48:26,SA-37/LED_LEVEL,8
2024-10-26 09:48:26,SA-37/LED_LEVEL,9
2024-10-26 09:48:27,SA-37/LED_LEVEL,5
2024-10-26 09:48:28,SA-37/LED_LEVEL,6
2024-10-26 09:48:28,SA-37/LED_LEVEL,7
2024-10-26 09:48:29,SA-37/LED_LEVEL,5
2024-10-26 09:48:30,SA-37/LED_LEVEL,3
2024-10-26 09:48:30,SA-37/LED_LEVEL,2
2024-10-26 09:48:31,SA-37/LED_LEVEL,1
2024-10-26 09:48:31,SA-37/LED_LEVEL,0
2024-10-26 09:48:34,SA-37/LED_LEVEL,1
2024-10-26 09:48:35,SA-37/LED_LEVEL,2
